UO ID,Sample Name,18:2/18:2,16:0/18:2,18:0/18:2,18:0/20:4,18:2/18:1,16:0/16:0,18:0/18:0,18:1/18:1,,,,
T101,1,30.5,173.1,147.8,203.1,195.7,98.0,386.6,64.2,,,,
T103,2,1.2,23.8,9.2,44.6,1.2,5.6,19.3,5.8,,,LOQ<8.5pmol,
T104,3,117.9,95.5,101.5,80.0,45.5,20.9,103.7,38.0,,,,
T105,4,46.4,74.7,47.1,69.5,91.9,10.8,25.2,40.0,,,,
T106,5,5.8,70.2,22.7,69.0,41.2,32.7,24.1,14.9,,,,
T107,6,19.5,99.2,35.0,36.8,63.8,10.4,51.7,19.5,,,,
T108,7,25.2,68.1,6.5,30.2,49.2,1.9,30.0,26.1,,,,
T109,8,-3.3,19.5,9.0,90.0,65.2,65.8,42.8,19.5,,,,
T201,9,7.6,13.1,13.3,21.8,13.6,7.6,19.0,2.1,,,,
T202,10,2.4,6.9,33.9,44.2,49.9,17.9,24.1,7.4,,,,
T203,11,3.1,9.4,3.1,29.5,8.3,16.3,60.1,15.6,,,,
T204,12,1.2,43.2,19.0,64.5,11.0,10.8,47.8,20.4,,,,
T205,13,4.9,54.4,54.0,14.0,29.3,13.1,38.0,21.5,,,,
T304,14,46.0,75.0,35.5,164.5,62.0,9.0,17.4,37.5,,,,
T305,15,23.1,50.1,7.2,101.0,23.1,12.6,33.9,1.9,,,,
T306,16,34.8,142.1,93.0,86.8,142.6,25.0,30.2,19.0,,,,
T307,17,6.7,33.0,16.1,51.5,33.4,25.2,24.1,5.8,,,,
T308,18,6.7,31.4,6.0,54.2,6.9,1.5,17.0,20.9,,,,
T309,19,27.7,35.0,27.7,70.4,29.3,21.8,38.2,12.2,,,,
T311,20,30.2,76.3,19.5,253.5,30.9,16.8,16.8,23.4,,,,
T312,21,13.3,24.5,18.8,37.3,26.1,-0.6,16.1,5.1,,,,
T400,22,25.2,49.9,22.5,59.2,37.3,49.4,14.2,41.6,,,,
T401,23,9.2,59.9,33.0,56.7,42.8,51.2,39.1,64.0,,,,
T402,24,41.2,39.1,13.6,103.1,13.8,19.0,24.5,35.7,,,,
T404,25,3.5,24.1,10.6,23.6,17.2,8.1,17.4,25.2,,,,
T405,26,6.5,61.0,67.2,22.9,15.8,22.0,31.4,46.2,,,,
T406,27,15.2,35.0,13.6,87.8,14.5,21.3,21.3,113.3,,,,
T407,28,2.1,4.2,2.1,41.4,13.6,-0.8,-0.6,13.3,,,,
T408,29,-0.8,29.1,6.9,17.0,38.0,3.5,9.7,45.3,,,,
T500,30,14.7,40.0,11.5,28.9,51.0,7.6,11.5,29.3,,,,
T501,31,7.2,20.9,6.5,64.9,21.3,11.5,41.2,11.7,,,,
T502,32,37.3,42.6,1.7,34.3,47.1,1.7,22.0,12.0,,,,
T503,33,5.3,39.6,20.6,57.2,23.1,14.0,25.9,8.3,,,,
T504,34,7.8,33.9,16.3,19.5,19.3,8.1,13.6,5.3,,,,
T505,35,23.8,46.7,39.6,87.1,12.9,19.5,12.6,4.4,,,,
T506,36,16.1,32.1,9.4,59.0,6.5,6.3,15.8,-0.1,,,,
